epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2847,2.98071,4.89403,2.88844,0.00136,0.10714,0.00114,0.00037,3.44887,6.88465,3.42263,4.287e-05,4.287e-05,4.287e-05
2,60.4699,3.19459,4.89755,2.96373,0.00238,0.17857,0.00308,0.0008,3.43589,6.85457,3.33742,9.80494e-05,9.80494e-05,9.80494e-05
3,87.927,2.94458,5.07034,2.87675,0.00197,0.14286,0.00315,0.00052,3.42868,6.72912,3.15106,0.000150965,0.000150965,0.000150965
4,119.609,2.63692,4.6342,2.56442,0.00133,0.10714,0.00449,0.00096,3.24861,6.53605,3.03014,0.000201618,0.000201618,0.000201618
5,151.448,2.68747,4.60451,2.50665,0.00144,0.10714,0.00348,0.00125,3.13434,6.69199,2.93503,0.000250006,0.000250006,0.000250006
6,179.589,2.56045,4.58746,2.43108,0.0022,0.14286,0.00295,0.00073,3.00179,6.54929,2.8629,0.000296132,0.000296132,0.000296132
7,208.355,2.35588,4.14755,2.34874,0.00206,0.10714,0.00238,0.00043,2.94969,6.43273,2.81314,0.000339993,0.000339993,0.000339993
8,246.138,2.27898,4.16274,2.24633,0.00345,0.14286,0.00372,0.0008,2.82218,6.41348,2.72339,0.000381592,0.000381592,0.000381592
9,271.728,2.1125,4.13312,2.12716,0.00456,0.21429,0.00621,0.00099,2.81758,6.25016,2.86529,0.000420926,0.000420926,0.000420926
10,297.314,2.29139,4.26959,2.18888,0.00312,0.14286,0.00374,0.00096,2.68876,6.35325,2.73519,0.000457997,0.000457997,0.000457997
11,323.325,2.14654,3.91676,2.07893,0.00496,0.17857,0.00557,0.00167,2.67865,6.41373,2.51066,0.000492805,0.000492805,0.000492805
12,349.359,2.14799,4.01518,2.07709,0.00673,0.25,0.0075,0.0021,2.59447,6.45673,2.30501,0.000525349,0.000525349,0.000525349
13,375.14,2.12105,3.75375,2.00045,0.0049,0.28571,0.04063,0.01562,2.54196,6.34609,2.24244,0.000555629,0.000555629,0.000555629
14,400.644,2.03169,3.6351,2.01994,0.00459,0.39286,0.04105,0.01931,2.61182,6.18565,2.3674,0.000583646,0.000583646,0.000583646
15,426.042,1.88257,3.49957,1.92019,0.00368,0.53571,0.00999,0.00311,2.56773,6.01893,2.35013,0.0006094,0.0006094,0.0006094
16,452.005,1.89886,3.37335,1.92829,0.00285,0.46429,0.00629,0.00254,2.54544,6.1325,2.41237,0.00063289,0.00063289,0.00063289
17,477.48,2.03392,3.65114,2.00045,0.00223,0.35714,0.00414,0.00225,2.55651,5.8796,2.45367,0.000654116,0.000654116,0.000654116
18,503.632,1.92256,3.33405,1.92754,0.00245,0.25,0.00165,0.00066,2.45417,5.79376,2.374,0.000673079,0.000673079,0.000673079
19,530.09,1.98289,3.17586,1.94889,0.00576,0.03571,0.01967,0.00397,2.46873,5.74584,2.43316,0.000689778,0.000689778,0.000689778
20,555.035,1.84696,3.42774,1.95173,0.40612,0.03571,0.03927,0.0153,2.61141,5.61615,2.38064,0.000704214,0.000704214,0.000704214
21,1237.72,1.77795,2.92318,1.85908,0.17257,0.03571,0.04799,0.0126,2.56606,5.7134,2.37174,0.000716386,0.000716386,0.000716386
22,1262.73,1.89055,3.00892,1.93072,0.29345,0.06074,0.0535,0.0124,2.66347,5.59351,2.40221,0.000726295,0.000726295,0.000726295
23,1287.95,1.93718,3.39964,1.95627,0.3405,0.07143,0.06134,0.01293,2.69415,5.67392,2.42868,0.00073394,0.00073394,0.00073394
24,1315.14,1.73452,3.01858,1.83152,0.26721,0.10714,0.07703,0.01873,2.45598,5.53086,2.21596,0.000739322,0.000739322,0.000739322
25,1347.67,1.80635,3.04558,1.92493,0.46255,0.07143,0.056,0.01129,2.41405,5.7525,2.2288,0.00074244,0.00074244,0.00074244
26,1380.13,1.75091,2.84448,1.84426,0.38792,0.07143,0.04068,0.00852,2.49495,7.32359,2.30056,0.000721645,0.000721645,0.000721645
27,1411.98,1.79564,2.87761,1.84643,0.11755,0.10714,0.0257,0.00745,2.51582,8.33644,2.24281,0.000693351,0.000693351,0.000693351
28,1436.28,1.74483,3.03538,1.86162,0.15144,0.07143,0.02129,0.00601,2.61023,7.47168,2.23213,0.000665057,0.000665057,0.000665057
29,1464.52,1.71153,2.87124,1.73457,0.17193,0.07143,0.02011,0.00606,2.52428,6.32322,2.16305,0.000636762,0.000636762,0.000636762
30,1494.83,1.65104,2.81958,1.75611,0.18744,0.07143,0.02732,0.00819,2.42072,5.86895,2.08696,0.000608468,0.000608468,0.000608468
31,1524.45,1.63367,2.74442,1.71712,0.10004,0.10714,0.02235,0.0079,2.29525,5.88038,1.98738,0.000580174,0.000580174,0.000580174
32,1556.86,1.65482,2.74751,1.74879,0.07134,0.10714,0.03042,0.00872,2.2062,6.26277,1.9484,0.00055188,0.00055188,0.00055188
33,1587.84,1.57437,2.59691,1.68869,0.07664,0.14286,0.05237,0.01271,2.26882,6.26503,2.06159,0.000523586,0.000523586,0.000523586
34,1619.42,1.64087,2.75227,1.72009,0.18102,0.07143,0.05731,0.0157,2.34555,6.18324,2.13734,0.000495291,0.000495291,0.000495291
35,1654.08,1.66779,2.58044,1.74867,0.35985,0.07143,0.08765,0.0229,2.36489,5.84151,2.13332,0.000466997,0.000466997,0.000466997
36,1687.99,1.50249,2.34642,1.6351,0.26354,0.07143,0.06078,0.02271,2.39064,5.34193,2.18044,0.000438703,0.000438703,0.000438703
37,1720.89,1.47506,2.513,1.59867,0.1936,0.07143,0.05442,0.01903,2.39398,5.08408,2.19764,0.000410409,0.000410409,0.000410409
38,1749.87,1.5785,2.44941,1.64799,0.73225,0.03571,0.04416,0.01337,2.40688,5.16579,2.23525,0.000382115,0.000382115,0.000382115
39,1776.86,1.49747,2.42201,1.61435,0.33221,0.03571,0.0418,0.01268,2.44588,5.14445,2.31807,0.00035382,0.00035382,0.00035382
40,1803.94,1.51145,2.37123,1.66749,0.31483,0.03571,0.02242,0.00857,2.39502,5.19647,2.28406,0.000325526,0.000325526,0.000325526
41,1830.64,1.46855,2.56862,1.57544,0.27494,0.03571,0.022,0.01003,2.34281,5.26973,2.24569,0.000297232,0.000297232,0.000297232
42,1857.45,1.36239,2.52801,1.59588,0.82385,0.03571,0.03927,0.01548,2.31086,5.12847,2.23044,0.000268938,0.000268938,0.000268938
43,1884.78,1.30581,2.47681,1.53355,0.92919,0.03571,0.03991,0.01234,2.26247,5.05972,2.1983,0.000240644,0.000240644,0.000240644
44,1911.05,1.25272,2.62293,1.47433,0.91007,0.03571,0.04253,0.00965,2.26194,5.06189,2.2073,0.000212349,0.000212349,0.000212349
45,1936.84,1.3009,2.42975,1.52628,0.88773,0.03571,0.04232,0.00946,2.26595,5.12334,2.21169,0.000184055,0.000184055,0.000184055
46,1962.61,1.31088,2.47133,1.52271,0.86784,0.03571,0.04287,0.00966,2.31816,5.03425,2.23818,0.000155761,0.000155761,0.000155761
47,1988.35,1.21898,2.42955,1.38422,0.79801,0.03571,0.04218,0.00975,2.32113,5.07206,2.22991,0.000127467,0.000127467,0.000127467
48,2014.27,1.13303,2.33885,1.39775,0.66873,0.03571,0.04154,0.00974,2.33137,5.04343,2.22976,9.91726e-05,9.91726e-05,9.91726e-05
49,2039.83,1.21956,2.30162,1.47012,0.48879,0.03571,0.04044,0.00952,2.3438,5.00115,2.19899,7.08784e-05,7.08784e-05,7.08784e-05
50,2065.53,1.12127,2.29325,1.38714,0.47661,0.03571,0.0228,0.00407,2.35038,4.98238,2.17062,4.25842e-05,4.25842e-05,4.25842e-05
